Codigo municipio,Municipio,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,provincia,promedio,total_Suma_ano,pueblociudad,p33,p66,consumoProvincia,dif1502
48018,Berriatua,22628.11,21439.75,20483.1,20822.62,21374.97,20384.87,18061.51,20796.49,21597.21,21452.23,21323.74,20843.51,20712.47,23857.5,Bizkaia,21127.00571428571,295778.07999999996,Pueblo,3108.363542857143,6738.3684357142865,Alto,-1229.3899999999994
48069,Mungia,4587.82,4613.42,4797.01,5018.86,5161.62,5355.42,5451.9,5892.42,5822.7,5970.87,5964.51,5965.05,5824.63,5800.5,Bizkaia,5444.766428571429,76226.73000000001,Pueblo,3108.363542857143,6738.3684357142865,Medio,-1212.6800000000003
20025,Zegama,4596.11,4879.02,4568.03,4435.04,4382.84,4464.81,5051.71,6397.34,6192.2,6653.6,5382.61,5406.96,5389.19,5788.06,Gipuzkoa,5256.251428571428,73587.51999999999,Pueblo,4173.691992857142,9100.15910714286,Medio,-1191.9500000000007
20077,Urretxu,2991.96,2930.98,2959.12,3009.32,3115.71,3090.44,3257.34,3475.58,3302.03,3737.23,4060.22,4169.52,4261.67,4102.89,Gipuzkoa,3461.7149999999997,48464.009999999995,Pueblo,4173.691992857142,9100.15910714286,Bajo,-1110.9300000000003
48074,Urduña/Orduña,2463.28,2535.2,2736.32,2756.07,2814.63,3137.38,3081.09,3367.96,3528.19,3385.67,3604.22,3087.81,3115.75,3563.37,Bizkaia,3084.067142857143,43176.94,Pueblo,3108.363542857143,6738.3684357142865,Bajo,-1100.0899999999997
20029,Deba,8482.75,9324.49,8951.59,10303.61,11218.49,11171.58,11303.61,13861.71,13571.5,12926.14,11540.31,11151.94,9937.08,9563.51,Gipuzkoa,10950.59357142857,153308.30999999997,Pueblo,4173.691992857142,9100.15910714286,Alto,-1080.7600000000002
48070,Aulesti,2713.27,2824.08,3362.3,3289.36,3304.47,3658.06,2932.85,3300.59,2514.35,3499.06,3390.51,3281.66,3304.5,3747.77,Bizkaia,3223.059285714285,45122.829999999994,Pueblo,3108.363542857143,6738.3684357142865,Medio,-1034.5
20009,Andoain,6684.65,6295.73,6296.04,6142.61,5567.98,5610.61,5502.34,6132.15,6615.28,7803.3,7515.24,7359.02,7673.3,7670.34,Gipuzkoa,6633.470714285714,92868.59,Pueblo,4173.691992857142,9100.15910714286,Medio,-985.6900000000005
1020,Kuartango,5067.42,4976.81,6295.01,5166.1,6045.26,6304.43,5869.65,6240.57,6643.11,10149.36,7734.21,12435.24,3980.8,6013.8,Álava,6637.269285714287,92921.77000000002,Pueblo,4090.7342857142858,10106.95,Medio,-946.3800000000001
20021,Belauntza,9794.89,11234.23,10437.37,10128.64,10356.45,9192.49,9325.6,10631.25,10818.86,10564.54,11342.38,12222.13,11476.59,10691.1,Gipuzkoa,10586.894285714287,148216.52000000002,Pueblo,4173.691992857142,9100.15910714286,Alto,-896.210000000001
20013,Aretxabaleta,5698.65,5452.84,5429.09,5358.68,5009.54,5157.49,4823.82,5614.01,6497.16,6743.11,6695.05,6869.81,6642.22,6509.49,Gipuzkoa,5892.925714285715,82500.96,Pueblo,4173.691992857142,9100.15910714286,Medio,-810.8400000000001
48040,Gatika,2829.74,2750.59,2979.86,3503.28,3258.26,3066.17,3490.48,4276.54,3756.51,3926.32,3642.92,3535.69,3316.72,3621.95,Bizkaia,3425.3592857142858,47955.03,Pueblo,3108.363542857143,6738.3684357142865,Medio,-792.21
1043,Oyón-Oion,8897.82,8360.86,7992.39,7824.39,7921.03,8297.79,8159.05,9414.67,9170.04,9153.78,9038.72,9677.38,10202.44,9688.61,Álava,8842.783571428572,123798.97000000002,Pueblo,4090.7342857142858,10106.95,Medio,-790.7900000000009
20027,Zestoa,7846.45,7938.17,11349.2,13628.96,14020.52,11725.26,13381.02,18566.96,15553.47,10711.58,9958.57,9833.99,9291.0,8607.25,Gipuzkoa,11600.885714285714,162412.4,Pueblo,4173.691992857142,9100.15910714286,Alto,-760.8000000000002
48054,Leioa,4538.67,4602.27,4790.25,5115.72,5645.22,6067.46,5572.05,6295.92,5920.9,5862.99,5864.55,5812.37,5684.76,5298.83,Bizkaia,5505.139999999999,77071.95999999999,Pueblo,3108.363542857143,6738.3684357142865,Medio,-760.1599999999999
20068,Leintz-Gatzaga,2135.73,2093.93,2007.12,1943.3,2089.57,2072.49,1977.4,9105.2,9170.45,9140.43,3389.13,3366.27,3323.32,2844.44,Gipuzkoa,3904.1985714285706,54658.77999999999,Pueblo,4173.691992857142,9100.15910714286,Bajo,-708.71
48027,Durango,3071.71,3023.36,3093.55,3194.2,3179.78,3284.69,3296.86,3642.62,3767.12,3831.32,3818.5,3898.8,3758.26,3735.96,Bizkaia,3471.195,48596.73,Pueblo,3108.363542857143,6738.3684357142865,Medio,-664.25
48013,Barakaldo,5179.02,5132.97,5171.66,5205.06,5625.49,5687.65,5640.49,6104.49,5993.41,6279.99,6371.27,6231.95,5981.52,5837.46,Bizkaia,5745.887857142858,80442.43000000001,Pueblo,3108.363542857143,6738.3684357142865,Medio,-658.4399999999996
48019,Berriz,6336.06,6183.35,6299.19,6284.32,6736.8,6456.05,5834.01,7394.38,7495.16,7457.21,7011.79,7565.96,7110.94,6985.35,Bizkaia,6796.469285714286,95150.57,Pueblo,3108.363542857143,6738.3684357142865,Alto,-649.29
48079,Errigoiti,2143.21,2257.89,2218.9,2396.28,2527.01,2673.46,2950.03,2705.27,3093.99,2597.32,2710.66,2671.82,2591.42,2772.75,Bizkaia,2593.572142857143,36310.01,Pueblo,3108.363542857143,6738.3684357142865,Bajo,-629.54
48037,Galdames,3721.51,3793.19,3438.74,3749.9,3995.28,4650.17,4901.87,5699.67,5101.62,4039.86,4501.16,4276.4,4328.91,4344.83,Bizkaia,4324.507857142858,60543.11,Pueblo,3108.363542857143,6738.3684357142865,Medio,-623.3199999999997
1009,Asparrena,22925.08,23079.3,23491.87,22818.89,23860.49,23692.38,21624.01,23840.54,23697.27,23930.85,24256.1,25134.82,24252.29,23539.55,Álava,23581.674285714285,330143.44,Pueblo,4090.7342857142858,10106.95,Alto,-614.4699999999975
20006,Alkiza,1847.12,1749.31,1790.46,1840.93,2257.17,2414.52,2505.13,2760.22,2764.12,2621.5,2752.75,2719.15,2702.07,2413.43,Gipuzkoa,2366.9914285714285,33137.88,Pueblo,4173.691992857142,9100.15910714286,Bajo,-566.31
20049,Lazkao,4477.69,4076.83,4169.21,4312.87,4337.4,4377.7,4564.72,5583.45,6285.59,6742.24,6044.58,5848.33,5173.73,5027.25,Gipuzkoa,5072.970714285715,71021.59000000001,Pueblo,4173.691992857142,9100.15910714286,Medio,-549.5600000000004
48049,Ispaster,2623.96,2434.22,2835.39,3155.92,3100.48,3077.2,3089.54,3397.69,3263.0,3221.47,3121.92,3053.75,3404.19,3161.64,Bizkaia,3067.1692857142857,42940.37,Pueblo,3108.363542857143,6738.3684357142865,Bajo,-537.6799999999998
48085,Sopela,3229.62,3355.76,3664.52,3762.24,3771.48,3859.36,3682.41,3993.15,3985.01,4192.51,4168.47,4038.47,3768.45,3762.06,Bizkaia,3802.3935714285717,53233.51,Pueblo,3108.363542857143,6738.3684357142865,Medio,-532.44
